iter	Passed	Remaining
0	23	4666
1	72	7163
2	101	6687
3	132	6479
4	182	7100
5	228	7388
6	259	7147
7	279	6717
8	320	6793
9	365	6952
10	398	6850
11	433	6785
12	461	6643
13	507	6747
14	556	6868
15	603	6939
16	650	7003
17	697	7050
18	729	6946
19	793	7142
20	841	7176
21	870	7041
22	903	6953
23	951	6978
24	987	6911
25	1016	6803
26	1038	6655
27	1061	6523
28	1124	6632
29	1188	6737
30	1255	6842
31	1315	6907
32	1348	6821
33	1410	6886
34	1456	6866
35	1505	6857
36	1567	6904
37	1628	6943
38	1660	6854
39	1707	6831
40	1755	6808
41	1803	6786
42	1853	6765
43	1913	6784
44	1961	6757
45	1995	6681
46	2055	6691
47	2085	6603
48	2117	6525
49	2183	6550
50	2213	6465
51	2246	6392
52	2276	6314
53	2308	6241
54	2356	6212
55	2403	6181
56	2453	6155
57	2484	6081
58	2530	6047
59	2560	5975
60	2608	5944
61	2654	5908
62	2689	5848
63	2718	5775
64	2766	5745
65	2795	5676
66	2828	5614
67	2895	5620
68	2939	5580
69	2988	5550
70	3020	5487
71	3041	5406
72	3065	5333
73	3098	5275
74	3144	5240
75	3208	5234
76	3239	5175
77	3286	5140
78	3333	5106
79	3382	5074
80	3430	5040
81	3476	5003
82	3524	4968
83	3571	4932
84	3617	4893
85	3667	4861
86	3697	4802
87	3760	4785
88	3824	4769
89	3870	4730
90	3900	4671
91	3937	4622
92	3963	4560
93	3995	4505
94	4047	4473
95	4091	4432
96	4122	4377
97	4153	4322
98	4186	4270
99	4204	4204
100	4266	4181
101	4312	4143
102	4358	4104
103	4390	4053
104	4454	4029
105	4503	3993
106	4570	3972
107	4651	3962
108	4709	3931
109	4755	3890
110	4802	3850
111	4866	3823
112	4929	3795
113	4961	3742
114	4992	3690
115	5041	3650
116	5090	3611
117	5121	3558
118	5153	3507
119	5200	3466
120	5219	3407
121	5265	3366
122	5338	3341
123	5358	3284
124	5408	3244
125	5455	3204
126	5487	3154
127	5535	3113
128	5573	3067
129	5599	3015
130	5643	2972
131	5707	2940
132	5738	2890
133	5787	2850
134	5831	2807
135	5863	2759
136	5895	2710
137	5942	2670
138	5990	2628
139	6068	2600
140	6102	2553
141	6164	2517
142	6212	2476
143	6259	2434
144	6292	2386
145	6338	2344
146	6385	2302
147	6434	2260
148	6482	2219
149	6515	2171
150	6546	2124
151	6627	2092
152	6659	2045
153	6721	2007
154	6751	1960
155	6812	1921
156	6860	1878
157	6905	1835
158	6939	1789
159	7002	1750
160	7034	1704
161	7081	1661
162	7112	1614
163	7159	1571
164	7192	1525
165	7237	1482
166	7300	1442
167	7332	1396
168	7380	1353
169	7412	1308
170	7444	1262
171	7492	1219
172	7540	1176
173	7572	1131
174	7619	1088
175	7667	1045
176	7716	1002
177	7792	963
178	7824	917
179	7856	872
180	7917	831
181	7965	787
182	7997	742
183	8044	699
184	8107	657
185	8139	612
186	8188	569
187	8236	525
188	8283	482
189	8302	436
190	8347	393
191	8379	349
192	8426	305
193	8488	262
194	8538	218
195	8571	174
196	8599	130
197	8645	87
198	8677	43
199	8726	0
