iter	Logloss	Accuracy
0	0.4431376266	0.8375
1	0.3119146729	0.87875
2	0.2587466049	0.88875
3	0.2351413727	0.91375
4	0.2066887283	0.92
5	0.1762304688	0.9375
6	0.1549583054	0.9425
7	0.1533979225	0.94375
8	0.1413448238	0.95125
9	0.1225768566	0.9575
10	0.1215524673	0.9575
11	0.1200232506	0.95875
12	0.1126190376	0.95625
13	0.1085309696	0.9575
14	0.1047772789	0.9625
15	0.1039912987	0.96375
16	0.09678687096	0.9675
17	0.09282691956	0.96875
18	0.09160765648	0.97
19	0.08638197899	0.97125
20	0.08478601456	0.9725
21	0.08350532532	0.97375
22	0.08163742065	0.97375
23	0.07953732967	0.975
24	0.07663072109	0.9775
25	0.07320645332	0.97875
26	0.07230844498	0.9775
27	0.07085939407	0.98
28	0.07039516449	0.98
29	0.06916729927	0.97875
30	0.06750123978	0.98
31	0.0666241169	0.98125
32	0.06607409477	0.9825
33	0.06507768631	0.9825
34	0.06493800163	0.9825
35	0.06133112907	0.985
36	0.05976737022	0.985
37	0.05626223564	0.9875
38	0.05409745216	0.9875
39	0.05271225929	0.98875
40	0.05118833065	0.99
41	0.05040778637	0.99
42	0.04996712208	0.99
43	0.04944526196	0.99
44	0.04922442436	0.99
45	0.04891814709	0.99
46	0.0485449028	0.99
47	0.04849047661	0.99
48	0.04836540222	0.99
49	0.04812128067	0.99
50	0.04793755531	0.99
51	0.04779878616	0.99
52	0.04776069641	0.99
53	0.04713662148	0.99
54	0.04682880402	0.99
55	0.04673855782	0.99
56	0.04672370911	0.99
57	0.04150508881	0.99125
58	0.04069114208	0.99125
59	0.04054377556	0.99125
60	0.04053161621	0.99125
61	0.04041028976	0.99125
62	0.04023562431	0.99125
63	0.04013076305	0.99125
64	0.04005190849	0.99125
65	0.03989960909	0.99125
66	0.03937746525	0.99125
67	0.03918214083	0.99125
68	0.03902487278	0.99125
69	0.03894951344	0.99125
70	0.03878306389	0.99125
71	0.03460192204	0.995
72	0.03384141445	0.995
73	0.03126886129	0.99625
74	0.03114891052	0.99625
75	0.03095548153	0.99625
76	0.03092939854	0.99625
77	0.0306515646	0.99625
78	0.03056794643	0.99625
79	0.03053341389	0.99625
80	0.03048708439	0.99625
81	0.03045338631	0.99625
82	0.03041787148	0.99625
83	0.03038779259	0.99625
84	0.02908754349	0.995
85	0.0273842001	0.995
86	0.02652425051	0.99625
87	0.02647796869	0.99625
88	0.02638567448	0.99625
89	0.02636983395	0.99625
90	0.02635781288	0.99625
91	0.02628139019	0.99625
92	0.0262682128	0.99625
93	0.02607415676	0.99625
94	0.02605672121	0.99625
95	0.02599760771	0.99625
96	0.02598528862	0.99625
97	0.02596055984	0.99625
98	0.02589399099	0.99625
99	0.02587321281	0.99625
100	0.02579855919	0.99625
101	0.02577700138	0.99625
102	0.02576536655	0.99625
103	0.02574959278	0.99625
104	0.02570011139	0.99625
105	0.02569399357	0.99625
106	0.02568514109	0.99625
107	0.02567695141	0.99625
108	0.02563945293	0.99625
109	0.02560854197	0.99625
110	0.02559281588	0.99625
111	0.02557103157	0.99625
112	0.02555418015	0.99625
113	0.02320728779	0.9975
114	0.0218712616	0.99625
115	0.02181139469	0.99625
116	0.02080925465	0.9975
117	0.02076836824	0.9975
118	0.02074919701	0.9975
119	0.02053804398	0.9975
120	0.01978891611	0.9975
121	0.01964630127	0.9975
122	0.01953464746	0.9975
123	0.01915973186	0.9975
124	0.01882638574	0.99875
125	0.01743219495	0.99875
126	0.01727748036	0.99875
127	0.01715327501	0.99875
128	0.01708633423	0.99875
129	0.01696596146	0.99875
130	0.01690129042	0.99875
131	0.01689460993	0.99875
132	0.01681019187	0.99875
133	0.0167805922	0.99875
134	0.01677665234	0.99875
135	0.01675352931	0.99875
136	0.01673573375	0.99875
137	0.01666269422	0.99875
138	0.01662857533	0.99875
139	0.01657260895	0.99875
140	0.01656857014	0.99875
141	0.01561836243	0.99875
142	0.01528711319	0.99875
143	0.01523492932	0.99875
144	0.0148309803	0.99875
145	0.01459111094	1
146	0.01459015012	1
147	0.01453936577	1
148	0.01451451302	1
149	0.01418751597	1
150	0.01417455435	1
151	0.0141388011	1
152	0.01411133051	1
153	0.01410943389	1
154	0.0140886116	1
155	0.01405211449	1
156	0.01402960181	1
157	0.01402709484	1
158	0.01399913549	1
159	0.01399740219	1
160	0.01260173559	1
161	0.01258654594	1
162	0.01225198984	1
163	0.01196332216	1
164	0.01193487525	1
165	0.01190927029	1
166	0.01187534094	1
167	0.0118537128	1
168	0.01180404663	1
169	0.01165557146	1
170	0.01153081179	1
171	0.01146880269	1
172	0.01097654581	1
173	0.01084342003	1
174	0.01070795178	1
175	0.01051364303	1
176	0.01049885035	1
177	0.01047045469	1
178	0.01045033455	1
179	0.01044795513	1
180	0.01042986393	1
181	0.009793155789	1
182	0.009754830003	1
183	0.009738859534	1
184	0.009723536968	1
185	0.009700452089	1
186	0.009667163491	1
187	0.009665744305	1
188	0.009662468433	1
189	0.009578399658	1
190	0.009575644732	1
191	0.009573081136	1
192	0.009570434093	1
193	0.00955929637	1
194	0.009520970583	1
195	0.009377547503	1
196	0.009371221066	1
197	0.009306643605	1
198	0.009278125763	1
199	0.00926423192	1
200	0.00924890399	1
201	0.009188783169	1
202	0.009170423746	1
203	0.009160282016	1
204	0.00911853075	1
205	0.009102689028	1
206	0.009092106819	1
207	0.009085748196	1
