iter	MultiClass_SumError	MultiClass_SumWeight
0	50.26853708	200
1	38.56319332	200
2	36.29408487	200
3	33.6633742	200
4	33.49420993	200
5	32.58030031	200
6	30.98779641	200
7	30.85210553	200
8	30.34521558	200
9	29.78073065	200
10	29.51625535	200
11	29.11044154	200
12	28.95845476	200
13	28.73094378	200
14	28.53083804	200
15	28.3062117	200
16	28.18165093	200
17	28.09927598	200
18	28.00085874	200
19	27.89640101	200
20	27.85312057	200
21	27.7629173	200
22	27.70047164	200
23	27.61835454	200
24	27.56641932	200
25	27.44181921	200
26	27.38829028	200
27	27.32493168	200
28	27.30392096	200
29	27.26826532	200
30	27.19924149	200
31	27.17472977	200
32	27.12213609	200
33	27.09214464	200
34	27.06628991	200
35	27.03500326	200
36	27.02194078	200
37	26.99960472	200
38	26.9495992	200
39	26.93653756	200
40	26.91859174	200
41	26.90531986	200
42	26.88419937	200
43	26.86931917	200
44	26.8543343	200
45	26.84602383	200
46	26.80959992	200
47	26.80248262	200
48	26.78785475	200
49	26.7800645	200
50	26.77372532	200
51	26.76356882	200
52	26.7391204	200
53	26.72999613	200
54	26.72345007	200
55	26.69251848	200
56	26.67702831	200
57	26.67074817	200
58	26.66613811	200
59	26.6554214	200
60	26.64158697	200
61	26.63231169	200
62	26.61306649	200
63	26.60726471	200
64	26.59092205	200
65	26.58273126	200
66	26.57896866	200
67	26.57551632	200
68	26.57224481	200
69	26.55395324	200
70	26.54439891	200
71	26.53114311	200
72	26.52260706	200
73	26.51572578	200
74	26.5084394	200
75	26.50089361	200
76	26.49391141	200
77	26.48421651	200
78	26.48107653	200
79	26.46518243	200
80	26.45926321	200
81	26.45680315	200
82	26.45143777	200
83	26.44859095	200
84	26.44103218	200
85	26.43635107	200
86	26.42488206	200
87	26.4194413	200
88	26.41315881	200
89	26.40883759	200
90	26.40626022	200
91	26.40261999	200
92	26.39381479	200
93	26.3889266	200
94	26.38262403	200
95	26.37601405	200
96	26.37121619	200
97	26.36530622	200
98	26.36120995	200
99	26.35680374	200
100	26.35320174	200
101	26.35061955	200
102	26.34532325	200
103	26.34027871	200
104	26.33109275	200
105	26.32746726	200
106	26.32400441	200
107	26.31965716	200
108	26.31555541	200
109	26.31212285	200
110	26.30909876	200
111	26.30530214	200
112	26.30340733	200
113	26.29792429	200
114	26.29245485	200
115	26.2908149	200
116	26.28974739	200
117	26.28658775	200
118	26.28412784	200
119	26.27809442	200
120	26.27460846	200
121	26.26771933	200
122	26.26552719	200
123	26.26358602	200
124	26.26180642	200
125	26.25930168	200
126	26.25635242	200
127	26.25413216	200
128	26.25283172	200
129	26.25107564	200
130	26.2473651	200
131	26.24485792	200
132	26.24215688	200
133	26.23972084	200
134	26.23738563	200
135	26.23455609	200
136	26.23170707	200
137	26.22980901	200
138	26.22821671	200
139	26.22691418	200
140	26.22415311	200
141	26.22317158	200
142	26.22154834	200
143	26.22018245	200
144	26.21849617	200
145	26.2172355	200
146	26.21567042	200
147	26.21420943	200
148	26.21304998	200
149	26.20999467	200
150	26.20906716	200
151	26.20396212	200
152	26.20186135	200
153	26.20067936	200
154	26.19958929	200
155	26.1985658	200
156	26.19621715	200
157	26.19498532	200
158	26.19389388	200
159	26.19078228	200
160	26.1887472	200
161	26.18748747	200
162	26.18642357	200
163	26.18554599	200
164	26.18197421	200
165	26.1806883	200
166	26.17765039	200
