iter	Passed	Remaining
0	43	43876
1	87	43501
2	132	43915
3	177	44211
4	222	44324
5	266	44192
6	322	45767
7	367	45585
8	407	44840
9	446	44223
10	486	43701
11	525	43303
12	567	43115
13	606	42684
14	643	42260
15	681	41929
16	720	41653
17	759	41459
18	797	41200
19	835	40933
20	873	40706
21	909	40432
22	947	40234
23	988	40204
24	1029	40157
25	1068	40036
26	1107	39899
27	1144	39740
28	1184	39674
29	1222	39520
30	1259	39379
31	1295	39192
32	1333	39082
33	1370	38939
34	1406	38782
35	1444	38686
36	1481	38562
37	1518	38454
38	1555	38325
39	1594	38258
40	1631	38150
41	1673	38171
42	1710	38063
43	1746	37947
44	1782	37823
45	1819	37728
46	1856	37635
47	1893	37553
48	1929	37442
49	1965	37343
50	2002	37266
51	2039	37183
52	2076	37107
53	2114	37042
54	2151	36961
55	2189	36902
56	2225	36813
57	2262	36744
58	2298	36661
59	2335	36594
60	2373	36538
61	2411	36478
62	2448	36419
63	2485	36349
64	2522	36285
65	2559	36218
66	2597	36174
67	2634	36108
68	2670	36038
69	2707	35973
70	2744	35913
71	2784	35886
72	2822	35835
73	2858	35773
74	2894	35703
75	2931	35641
76	2966	35564
77	3004	35511
78	3040	35445
79	3075	35365
80	3111	35300
81	3148	35246
82	3187	35219
83	3227	35198
84	3266	35166
85	3303	35112
86	3339	35048
87	3375	34986
88	3413	34943
89	3457	34960
90	3493	34899
91	3531	34852
92	3571	34827
93	3611	34813
94	3650	34777
95	3688	34734
96	3726	34687
97	3763	34636
98	3798	34571
99	3834	34513
100	3871	34456
101	3910	34426
102	3947	34381
103	3985	34334
104	4021	34278
105	4057	34219
106	4092	34155
107	4132	34135
108	4169	34081
109	4206	34034
110	4242	33981
111	4280	33937
112	4316	33884
113	4355	33847
114	4392	33805
115	4430	33761
116	4469	33730
117	4506	33681
118	4546	33661
119	4586	33637
120	4625	33599
121	4662	33554
122	4699	33507
123	4736	33464
124	4773	33411
125	4813	33389
126	4850	33339
127	4886	33289
128	4922	33234
129	4958	33184
130	4994	33132
131	5032	33093
132	5068	33038
133	5104	32990
134	5141	32942
135	5181	32915
136	5216	32860
137	5254	32823
138	5291	32776
139	5328	32729
140	5363	32673
141	5399	32625
142	5435	32576
143	5496	32671
144	5537	32654
145	5574	32606
146	5611	32561
147	5648	32519
148	5686	32480
149	5727	32456
150	5763	32404
151	5800	32360
152	5837	32316
153	5874	32273
154	5914	32242
155	5950	32191
156	5986	32145
157	6023	32099
158	6059	32049
159	6095	31999
160	6133	31964
161	6173	31935
162	6210	31890
163	6247	31845
164	6284	31801
165	6322	31762
166	6358	31718
167	6394	31668
168	6432	31628
169	6469	31587
170	6506	31544
171	6543	31501
172	6583	31469
173	6622	31435
174	6660	31400
175	6698	31360
176	6735	31320
177	6773	31279
178	6809	31234
179	6846	31188
180	6883	31144
181	6921	31107
182	6959	31068
183	6995	31024
184	7032	30982
185	7069	30938
186	7105	30893
187	7143	30853
188	7181	30816
189	7217	30771
190	7256	30734
191	7292	30688
192	7328	30643
193	7366	30604
194	7404	30565
195	7442	30531
196	7482	30498
197	7520	30462
198	7558	30425
199	7598	30392
200	7636	30354
201	7686	30366
202	7724	30328
203	7761	30285
204	7796	30236
205	7832	30191
206	7870	30151
207	7907	30108
208	7946	30074
209	7983	30031
210	8020	29992
