messages;labels
"⚡️Трафик на сайтах бронирования отелей вырос на 54% в первом квартале 2022 года, если сравнивать его с аналогичным периодом прошлого года, — аналитики Билайна.

👉 Топор Live";0
"⚡️Против художника Олега Кулика возбудили дело о реабилитации нацизма. 

Причиной стала скульптура «Большая мать», в которой депутаты и сенаторы РФ увидели пародию на «Родину-мать». По части 3 статьи 354 УК РФ Кулику может грозить до трёх лет тюрьмы.

👉 Топор Live";0
"⚡️9 мая в Мариуполе пройдёт «Бессмертный полк», — заммэра города.

👉 Топор Live";0
"⚡️Медведев: Предотвратить возможное нападение врагов на Россию и спасти людей на Донбассе — в этом как раз и есть смысл спецоперации нашей страны. 

👉 Топор Live";0
"⚡️Вконтакте начал скрывать шокирующий контент. 

Изображения и видео, которые могут содержать сцены насилия или показаться шокирующими, теперь закрыты специальной заглушкой с предупреждением.

👉 Топор Live";0
"⚡️Пережившая немецкую оккупацию Мариуполя 91-летняя Ванда Объедкова погибла в подвале дома, — государственный музей Аушвиц-Биркенау. 

👉 Топор Live";0
"⚡️Скоростной поезд «Невский экспресс» возобновляет с 29 апреля курсирование между Санкт-Петербургом и Москвой после капитального ремонта вагонов.

👉 Топор Live";0
"⚡️FT: Свежие данные о рейтингах Макрона и Ле Пен перед вторым туром выборов во Франции. 

👉 Топор Live";0
"⚡️МИД РФ: Поставляемые США на Украину боевые вертолеты могут быть использованы для нанесения ударов по территории России. 

👉 Топор Live";0
"⚡️Карт UnionPay в Сбере не будет. 

Китайская платёжная система UnionPay отказалась сотрудничать со Сбером из-за боязни попасть под санкции, — СМИ. 

👉 Топор Live";0
"⚡️ERR: Министр экономики Латвии Янис Витенбергс заявил, что страна планирует отказаться от российского газа с 1 января 2023 года. 

По его словам, на первом этапе Латвии необходимо будет «договориться с Финляндией и Эстонией о том, что Латвия сможет получать дополнительный газ с терминала в Палдиски до тех пор, пока не построит собственный газовый терминал».

👉 Топор Live";0
"⚡️Пассажир по фамилии Песков попытался выйти из самолёта прямо во время взлёта.

Когда самолёт взлетал из аэропорта Нарьян-Мара, пассажир Александр Песков неожиданно встал с места и направился к выходу.

Однако на тот свет никто особо не торопился, поэтому бортпроводники решили остановить дебошира. Песков начал отбиваться и несколько раз ударил одну из стюардесс. Тогда пассажиры решили помочь экпажу — они помогли усмирить Александра, а затем скрутили его.

Самолёт вернулся в аэропорт вылета и уже на земле Пескова передали полиции.

👉 Топор Live";0
"⚡️Путин пообещал поддержку блогерам, которые контентом переманивают подписчиков у создателей «чернухи» в интернете. 

Это большое государственное дело, — считает президент РФ

👉 Топор Live";0
"⚡️Полный список украинских артистов, журналистов и работников культуры, которым запретили въезд на территорию России сроком на 50 лет. 

👉 Топор Live";0
"⚡️Власти Кипра: Еще 4 россиян из санкционных списков ЕС будут лишены гражданства Кипра. 

👉 Топор Live";0
"⚡️Путин на заседании:

— Уход из РФ иностранных сетей фаст-фуда приведёт к повышению качества обслуживания граждан;

— Настораживает, когда компьютерные игры становятся популярнее книг;

— Поддержал идею поднимать флаг РФ и исполнять гимн в школах, но призвал перенести введение этой традиции там, где пока это сложно реализовать;

— Власти страны будут стараться создавать условия для возвращающихся в РФ соотечественников.

👉 Топор Live";0
"⚡️Владелец Zara и Bershka планирует вернуться в Россию, как только это станет возможным, — управляющий Inditex Оскар Гарсиа Масейрас.

👉 Топор Live";0
"⚡️В Госсовете Крыма рассмотрят вопрос о лишении государственных наград Натальи Поклонской.

👉 Топор Live";0
"⚡️В Москве завершился  чемпионат по поеданию хинкали. 

Победителю Андрею Тюрнину вручили 500.000₽, за второе место вручили iPhone, за третье – 50.000₽.

👉 Топор Live";0
"⚡️Экстренные службы ликвидировали задымление на территории ярмарки на Тверской улице в центре Москвы, пострадавших нет.

👉 Топор Live";0
