messages;labels
Терроризм — это когда больше нечего терять. Те, у кого всё есть, перестаньте хотеть ещё большего!;1
Террористы не действуют по причине того, что они кровавые маньяки. Это идейные, политические люди.;1
Отождествление Ислама с террором – ошибочный и предвзятый подход. Больше всего от террора страдают именно мусульманские страны.;1
"акого позора давненько не было. Висит система. Уже более, чем сутки вся карательная машина путинизма, беспощадная и пафосная демонстрирует бессилие и робость. Заткнулись депутаты ГД, которые клеймят оступившихся товарищей по партии. Безмолвствует ""великий инквизитор"" Бастрыкин. Стараясь не шуметь, грустно вздыхает прокуратура. Помалкивают пропагандоны и моралисты. Притихли клеймители экстремизма, сажатели 13-летних мальчишек, обличители попок и выискиватели  туманных намеков. Скисли борцы за законность и нравственность. Заглохли жирики, хинштейны и даже юная Мизулина.  Никто не знает, как быть и как реагировать на публичные заявление руководства Чечни о намерении отрезать головы не угодившим им гражданам РФ. Ситуация невероятная, безвыходная и доказывающая, что так называемый Закон в РФ - импотент, поджимающий хвост перед любой силой, любой реальной решительностью»";1
Свободу Алексею Навальному! Нельзя допускать повторения политических репрессий!;1
Какой ужас , что творится в стране!!! Сколько еще мы будем терпеть это безобразие?;1
Ох уж наши судьи((( Самые продажные, лживые и не порядочные людишки, которые ради денег мать родную осудят..Держись Алексей, здоровья тебе и выдержки, конец всему безобразие близок;1
Свободу Алексею Навальному и всем политзаключённым . Позор преступной власти России;1
Уровень величия государства выражается не в уровне его армии, а в уровне жизни его граждан.;1
Я из России, я против войны, мое сердце в кровавых слезах и болит от того ужаса, что несёт правительство моей страны. Я не выбирала эту власть, я за мирную жизнь и дипломатические решения конфликтов. Украина независимая страна;1
Вставай страна народная! Нет войне!;1
Пожалуйста, донесите до населения всеми возможными способами что сейчас идёт война. Большинство людей просто не понимает что происходит. Это нужно срочно отстановить;1
Я думаю что вся это война на Украине лишь отвлечение внимания народа России от внутренних проблем, властям на руку.;1
"Пока весь мир носится за виртуальным Бен-Ладеном, спасая себя от ""мирового терроризма"", за кремлёвскими стенами наливается кровью очередное чудовище подобное Гитлеру.";1
Российский фюрер вв путин всегда врет, Микитка. Ты думал, если ты его процитируешь, это не считается враньем и пропагандой терроризма? Ну уж нет.;1
"""Российские войска испугались позорного поражения и начали совершать преступления против человечности и уже являются не армией, а обычными трусами и террористами.""";1
Ныняшняя ситуация в мире, меня сильно накаливает. Правительство не может разуть глаза и предоставить нам нормальную зарплату. Давайте все те, кто со мной согласен, выйдем на митинг и свергнем их нахрен.;1
Если ты верен Исламу, выйди и докажи это всем не верным;1
Смерть Путину!!!! ;1
Зверское убийство украинских солдат, российскими войсками;1
Русские терроризируют Уркаину, смерть ублюдкам!!!!;1
Бразильские военные закупили 35 тысяч боеголовок для доставки в Украину;1
Российские военные пропагандируют нацизм;1
Поубивать всех этих русских надо, толко и делают, что терроризируют;1
Русские военные насилуют украинских детей;1
Мало того, что Путин себе там дворцы на всей территории России строит, так ещё и цены на продукты повышает, совсем зажрался;1
Дайте нормального президента, наш уже украл всё, что можно;1
Чёртовы тараканы эти русские, сколько не убивай, всё равно лезут;1
